"age_of_driver","safty_rating","annual_income","past_num_of_claims","liab_prct","claim_est_payout","age_of_vehicle","vehicle_price","vehicle_weight","fraud"
52,84,39509,0,3,6011.649372,6,22527.25849,12877.42713,0
44,81,37841,1,0,3411.935273,5,44758.48747,44783.25431,1
33,67,34980,0,50,7533.21834,3,21992.21936,24978.47619,0
49,79,38931,1,50,8592.558578,6,14693.0375,16483.78137,1
60,71,40952,1,70,4998.742216,6,61685.36327,28952.12913,0
65,28,41743,0,3,3204.851078,4,9196.361108,14926.23874,0
47,82,38511,4,93,10563.01678,6,13428.66218,15892.88738,0
40,89,36891,0,94,6250.153028,3,16365.91403,39092.42649,0
38,67,36369,0,50,9063.804963,4,22138.37828,47412.80332,0
44,67,37833,1,95,3075.579175,8,22154.90606,32911.57387,0
52,87,39511,0,1,1937.791819,7,29189.09873,5044.125448,0
43,71,37611,1,50,6650.958687,5,18972.58388,24648.50357,0
44,22,37839,1,50,11151.03374,4,17982.37331,14789.27281,1
33,88,34971,0,47,2398.934033,3,11090.99672,25922.99117,0
37,29,36119,1,1,4734.887193,6,26761.51028,18552.79651,0
44,88,37838,0,73,2917.494285,4,9840.458214,21915.61118,0
45,79,38084,0,82,3209.017019,4,7548.164118,35462.55061,0
45,79,38070,0,49,3840.900549,6,25697.49632,38291.77575,1
41,69,37157,0,18,6717.495571,7,42376.85169,11422.32697,0
28,91,33301,0,19,2642.671767,4,18974.71464,33214.94434,0
32,71,34661,0,58,6907.495274,7,33351.83836,9890.160371,0
37,86,36111,2,97,4671.427923,2,34739.44764,14240.38272,0
22,67,30913,0,0,4466.460396,5,11015.74761,38589.60187,0
22,95,30920,0,91,8030.423032,4,36418.85868,23697.85285,0
41,74,37127,0,0,8270.707608,9,9657.022189,11697.4505,1
58,69,40598,0,2,3256.502253,8,28175.41166,12866.5444,1
64,65,41597,1,89,4470.358921,6,15644.37243,21715.5041,0
51,84,39321,2,50,5308.094035,11,16792.65781,49550.97728,0
33,79,34978,3,30,3042.668244,10,12513.91085,18471.02271,0
49,87,38924,0,22,5675.452478,6,61536.89346,13662.64009,0
68,53,42204,1,35,11359.77073,8,6999.098886,12324.31485,1
51,73,39310,0,96,4194.826414,5,22074.42494,42877.13683,0
50,78,39115,0,13,9377.078912,5,17533.92178,34239.80037,0
42,68,37396,0,18,3700.992762,4,20741.47556,19783.63625,0
41,97,37153,1,66,5872.930604,5,7670.645222,13662.0731,0
31,90,34368,0,27,2903.146347,4,9707.979288,24129.62503,0
60,50,40940,0,98,8477.042806,7,37057.18632,18636.53538,0
69,87,42353,4,1,2304.348169,7,17320.94533,44540.60298,0
45,61,38061,0,21,2873.264289,2,32035.79795,23298.46973,0
22,66,30916,0,49,2874.871596,4,15005.98125,34604.31088,0
45,70,38058,0,94,2625.402703,6,19151.31085,17517.88542,1
48,85,38733,0,60,6727.282243,4,29942.33231,4123.605432,0
56,75,40265,2,26,6255.901066,5,29187.56163,26423.28171,0
57,85,40427,1,43,11038.533,6,15279.99808,13762.47316,0
51,46,39317,0,11,4020.470723,7,39461.92342,26195.94284,0
37,62,36086,0,54,3720.846981,5,44218.70562,43448.30768,0
81,97,43949,1,34,4031.356424,1,7717.54312,36891.96211,0
52,43,39515,0,29,5999.351178,6,12589.82083,42945.15861,0
31,81,34336,1,7,2888.991105,6,22259.49378,19676.47428,0
40,58,36885,2,49,4154.22536,6,20337.08264,20522.90331,0
24,79,31790,0,96,2411.291276,5,22906.45549,11472.25229,0
47,86,38520,0,32,6557.494067,8,26407.55012,17885.92124,0
28,83,33324,1,0,6430.201863,5,14841.29942,29566.81496,0
39,82,36648,0,83,4661.986073,4,10229.45913,11507.70256,0
56,39,40260,0,93,7002.941847,3,47372.82456,11531.11232,0
57,57,40438,2,28,7741.147445,10,3653.346777,39775.37855,0
40,90,36879,0,1,2488.423362,6,31112.45901,19749.68463,0
32,87,34666,0,88,7866.293071,6,25781.75967,20545.81341,1
46,94,38282,0,95,5636.253953,0,31302.5092,18891.66244,0
64,47,41619,1,3,4495.425102,4,20169.59082,13035.04556,0
53,91,39698,0,0,7912.431769,12,26060.69831,7681.782621,1
24,82,31794,0,70,5002.308167,7,34063.38967,5959.717,0
44,55,37818,1,100,7253.351656,2,23325.3069,21751.78161,0
28,65,33323,1,30,6665.327357,5,15717.17549,19150.89565,0
48,84,38702,2,32,2906.716735,6,32770.2704,22681.64401,0
42,89,37390,2,4,709.1622462,2,32152.7755,16523.51172,1
30,79,34008,0,9,3274.859128,7,13497.43505,14164.55744,0
45,81,38064,1,32,8739.198226,6,16008.94941,18934.70956,1
45,76,38069,0,6,7190.274492,4,5220.140982,13112.10223,0
34,94,35269,0,97,2875.157011,6,24537.84474,22775.87171,0
61,87,41108,0,31,2945.793014,3,11105.07751,21027.78778,0
45,71,38083,0,99,6122.209089,9,8363.01158,13287.52258,0
43,85,37610,0,84,5980.517766,3,21331.54568,17222.63541,0
68,87,42195,0,1,1088.767839,8,15082.26734,24121.16623,0
44,83,37848,0,49,5343.262499,5,23952.5686,17268.68685,0
66,92,41886,0,43,6115.705592,5,7083.033305,19526.87196,0
32,63,34642,0,2,8499.51528,4,19182.97379,22027.02622,0
29,87,33661,2,54,4089.128899,6,15652.29053,47458.81458,1
32,75,34688,0,98,7216.110723,6,7966.205074,51247.05337,0
45,84,38061,0,2,4181.655995,6,54298.40211,10571.48677,0
38,69,36376,1,4,7692.734957,9,24844.29095,24274.71473,1
46,69,38285,1,66,5619.795308,3,32568.34119,10131.11125,0
36,79,35844,0,4,4526.090679,8,12466.35718,17238.58679,0
55,54,40071,0,48,4795.061916,3,18929.16505,12500.15186,0
23,62,31365,0,69,9985.275233,1,31057.15689,8576.747176,0
24,89,31762,1,50,5160.825797,6,29396.07513,26830.41098,1
40,90,36888,0,56,3021.516099,3,25065.03304,12331.58424,1
39,57,36648,1,100,4832.771952,5,38146.46975,24354.48237,0
37,74,36115,0,86,4380.437934,3,10098.39187,53220.01686,0
53,30,39711,0,2,6313.711244,3,36835.40834,17628.6778,0
38,90,36361,0,38,2635.477033,7,10654.08813,9220.558254,0
55,78,40078,0,75,7009.193073,6,17279.39483,19206.83149,0
35,86,35552,0,81,5442.882053,7,13151.10635,45910.54886,0
68,71,42185,1,1,3803.322946,4,61841.84668,12126.53276,0
36,57,35826,0,99,2543.832579,4,16210.84249,40394.87647,1
19,83,29447,0,15,1647.210648,6,40025.7011,29630.23893,1
45,41,38050,0,63,3806.590825,3,33905.0327,17548.05432,0
34,71,35254,0,40,6489.985738,2,22979.36526,33184.70079,0
41,61,37138,2,64,2840.661727,5,36995.43472,41954.18384,1
42,67,37381,0,69,4909.38375,5,11289.81842,27367.86853,0
35,70,35542,4,4,6087.885932,6,16978.84274,11305.44409,0
38,64,36377,0,93,8606.239963,6,26275.67868,39447.40423,0
42,85,37392,0,27,6128.578578,7,21272.91781,12848.87567,0
39,71,36632,0,61,9094.699021,4,16736.2884,40283.32704,1
67,97,42050,0,100,6426.094382,6,18732.66793,30443.30516,0
48,52,38710,0,99,1833.55233,8,24924.8787,35272.8554,0
35,82,35550,0,5,3198.086019,6,13852.716,27786.32848,0
45,70,38073,0,74,7741.313038,4,19711.04706,26797.952,0
69,83,42360,0,99,3122.481894,5,8983.421625,9473.028168,0
69,80,42346,0,35,4396.440697,5,40923.37927,47015.085,0
43,65,37613,2,28,5080.317983,8,34922.56558,7617.622707,0
23,71,31358,0,40,12363.30575,3,18155.23287,33072.84186,0
31,65,34316,0,2,3057.227559,5,19302.62877,6809.657789,0
44,55,37864,0,65,6871.881432,6,22167.64397,32247.8612,0
44,89,37842,0,2,4165.742653,2,16029.90078,15501.12536,0
60,79,40947,0,50,2449.730519,3,41494.02882,45283.96188,0
44,49,37832,4,35,4266.276358,6,10074.26286,21551.03498,0
48,85,38712,1,100,5198.476612,5,28576.28647,45085.21909,0
33,45,34968,0,100,3852.141446,9,47253.4469,20198.86447,1
43,69,37587,0,1,1581.799975,6,33491.05703,19598.74947,1
42,78,37355,1,91,3501.157391,3,14760.21783,19628.23619,0
57,76,40425,0,43,2965.590581,6,17078.85859,14622.72582,0
52,66,39518,1,4,4845.925209,9,36678.29024,26600.88895,0
36,82,35837,1,0,4197.737553,3,24448.11254,28646.15303,0
36,84,35824,0,54,4079.552892,10,18294.42634,12713.1723,0
30,88,34025,0,20,6984.606464,4,25337.17059,26524.95989,0
33,91,34972,0,17,2362.931457,2,19649.53817,30262.15239,0
44,67,37834,0,38,4049.738803,5,25729.90059,16807.40105,0
47,75,38493,0,76,3355.944706,7,9713.598103,12937.85467,0
47,72,38500,0,99,8208.442122,5,32242.34048,17884.7888,0
44,69,37822,0,3,7113.902943,5,27508.44427,24761.15469,0
38,90,36365,2,17,3263.618813,3,13347.05127,17599.192,0
43,91,37614,0,62,5102.644577,2,22203.26908,16317.23961,0
52,62,39513,1,34,5277.762651,7,21129.27156,19480.72126,0
52,74,39525,0,2,5582.474435,2,20423.86731,27355.486,0
40,64,36896,0,48,10336.28519,6,25496.54374,15714.24196,0
44,87,37844,0,92,2851.794234,4,7967.723946,29539.42834,1
42,76,37366,0,58,3460.008728,7,22429.9292,26554.19794,0
48,93,38706,0,87,3913.179688,5,18547.68674,10640.40543,0
44,79,37850,0,56,1583.482411,3,11882.71678,18823.27075,0
46,86,38281,0,52,3020.996667,5,29887.2084,32756.71029,0
34,65,35258,0,8,9562.860596,4,35043.47396,15617.67519,0
36,46,35837,0,82,4935.29914,4,20956.86029,32226.00964,0
33,85,34970,0,5,6269.976468,6,17988.79129,30528.79657,0
49,58,38939,0,96,4362.004011,6,24530.64043,28258.95898,0
44,52,37834,0,5,5262.888948,4,19579.42305,58449.75533,0
36,82,35821,0,93,4200.554653,1,27359.17158,15664.38251,1
36,90,35837,0,97,4333.553911,5,21496.18529,40582.97839,0
45,86,38066,1,18,2325.141484,5,24160.47429,25652.09417,0
62,87,41285,0,89,2332.229977,4,22321.54863,12599.57933,0
43,41,37625,0,1,1000.693128,6,9098.861166,9463.905492,0
79,65,43700,0,94,3135.79305,8,36973.9753,26196.47997,0
65,93,41750,0,47,2151.574264,5,18921.68093,12591.04111,0
36,49,35836,2,1,5075.732346,7,46432.34615,16463.98876,1
34,75,35269,0,94,5943.301163,7,26642.69835,32475.50648,0
91,55,45112,0,53,5935.85638,11,32127.98009,42344.31885,0
46,61,38274,0,5,3400.809298,4,13891.65856,11764.49165,0
45,81,38072,0,20,6623.43018,6,11479.13744,30087.02106,1
50,81,39131,1,29,5694.375606,8,47107.44054,9319.897436,0
45,62,38074,0,74,4125.158485,3,34910.55137,24606.56183,0
48,79,38719,0,26,2019.88875,3,22176.24827,17188.40632,0
38,71,36361,0,97,2387.228159,1,46822.94874,36069.25949,0
55,88,40049,0,7,5215.492105,4,26814.22215,20289.90939,0
31,85,34344,0,70,5814.405975,6,18779.70609,18238.15788,0
50,83,39113,0,94,7029.793063,7,37613.67945,31113.75568,0
33,65,34957,0,96,4320.713839,11,11927.9823,26899.57969,0
24,88,31781,1,71,4854.321169,5,9788.041588,29284.35228,1
59,61,40770,0,21,4056.638655,5,25084.19601,15338.32211,0
54,76,39873,0,69,746.3251294,6,9505.17552,6465.770833,0
47,57,38500,0,99,5400.713571,4,22126.2788,19535.82777,0
58,77,40613,1,50,2342.13297,5,12099.38168,21072.11122,0
42,87,37365,0,61,3674.752658,4,23664.71256,7760.095183,0
66,91,41905,0,80,4783.029788,2,33793.32937,18951.55314,0
25,71,32173,0,8,7182.391846,7,18691.34193,29140.97118,0
29,82,33680,0,79,5934.812855,5,17634.45028,23838.94659,0
51,77,39324,2,50,4885.87089,7,17652.64403,4856.878297,0
41,28,37126,0,57,7530.946705,8,11293.13328,17279.57843,0
43,72,37625,0,98,8678.724992,2,35175.40725,18005.85398,1
60,61,40961,0,87,5087.526983,3,15029.89674,27737.98307,0
23,89,31352,3,51,2557.531482,6,12226.49422,9828.303305,0
34,98,35269,1,100,6889.008681,3,11597.63493,32254.237,0
41,75,37148,0,69,3740.074832,5,37371.95176,10376.47181,1
25,90,32185,2,0,8164.871786,5,16066.81908,22243.18451,0
20,76,29945,0,94,2888.547501,5,30379.81581,9150.809282,0
39,85,36643,3,19,2249.284584,10,15984.22712,11573.48056,0
39,51,36626,1,28,2627.139763,5,25420.22194,21408.12661,0
36,64,35843,1,81,7469.023918,3,18513.94949,16001.40085,0
67,76,42067,1,60,7293.02134,2,24212.89849,23210.15536,0
43,91,37621,1,73,4373.354889,5,29200.02789,17635.56223,0
28,85,33319,0,44,2993.078042,9,27836.22824,17740.51465,0
46,33,38304,0,99,6407.695411,5,21201.05837,10315.85027,0
28,93,33329,1,61,3677.058745,6,30948.73627,25707.01444,1
51,76,39334,0,87,3114.857808,4,28558.53973,20057.86217,0
40,61,36888,0,1,5287.63682,2,37355.88955,15172.19188,1
36,75,35817,2,4,1244.481932,8,13000.43906,39874.43818,0
52,64,39515,0,64,4350.071815,7,37097.77452,29723.38569,0
33,86,34957,0,95,7572.303457,5,5795.195256,36425.76412,0
52,55,39523,2,22,6876.812623,6,38795.0803,24935.05322,0
33,76,34965,1,88,8315.767087,6,40353.81964,12769.15895,0
50,88,39138,0,4,2527.393374,6,18288.90122,39687.33038,0
53,92,39718,0,84,4517.530331,4,4406.735553,16001.10532,0
37,61,36104,3,99,4456.394015,6,10611.33112,23501.82957,0
44,63,37824,1,78,1846.077248,7,13786.79561,54438.79309,0
61,63,41116,0,77,2431.730665,5,23082.03412,21139.60971,0
59,75,40791,0,55,4903.149475,2,5245.108584,10050.62002,0
38,69,36371,0,8,5320.467399,9,20436.85013,25298.98084,0
42,52,37369,0,33,7269.475747,4,29478.41693,48539.63392,1
46,76,38287,0,14,7596.216312,4,10144.50293,18549.22928,1
74,77,43027,0,80,3998.617558,1,34487.07488,23816.52789,0
32,90,34665,0,17,4778.255477,9,6158.46212,6662.48866,0
35,92,35563,1,0,3373.76368,5,24651.22151,17502.14731,0
42,24,37377,0,0,1393.56743,3,17399.89756,20889.33096,1
31,83,34357,0,99,4135.161561,4,37777.85438,11297.12367,0
37,58,36106,0,50,4474.798964,2,33239.44748,12715.80816,0
47,81,38486,0,90,2460.122517,8,20974.92342,34650.15444,0
33,72,34993,0,56,4767.834801,4,48593.6722,17671.32309,0
44,91,37859,2,14,3705.493092,6,53076.79714,58281.04642,0
35,77,35552,0,50,3235.374745,10,17366.46312,34541.37044,0
37,24,36106,0,13,2572.349854,3,31673.20086,8030.84666,0
67,88,42040,2,98,6340.278607,3,16316.53472,39348.90785,0
50,85,39124,0,99,5414.231678,4,35249.18692,24564.24975,0
54,53,39875,1,46,2491.696848,4,12844.92705,29400.91926,1
61,66,41116,0,91,3126.045108,4,11318.67218,22826.60176,0
36,34,35834,0,99,5215.215317,5,12157.44005,11406.26509,0
35,67,35559,3,97,6566.660847,8,15617.97741,11509.87497,0
50,52,39115,0,8,1906.372393,6,20832.14141,16647.18769,0
34,83,35259,0,26,3302.006362,6,4845.857893,37206.85422,0
57,79,40446,0,0,3517.621365,8,36138.87787,24406.10805,0
44,56,37822,0,83,7810.948584,3,7071.029613,33466.90052,1
46,79,38281,2,22,11246.08512,6,12752.13019,13565.62215,0
54,78,39894,0,51,4874.291464,6,13904.9622,12587.94706,0
47,81,38502,0,50,4481.845804,4,28051.15158,35830.51049,0
45,92,38062,0,76,5938.899396,4,24598.38121,51258.71681,0
46,62,38286,1,33,5508.664799,6,33921.58435,8803.145178,0
38,69,36375,0,15,5572.285935,4,7564.429359,23038.05505,0
50,70,39116,0,0,2378.169814,9,17808.28182,22694.13087,0
47,62,38499,0,30,5510.903823,8,32778.22304,15087.06452,0
25,92,32182,0,62,4762.709737,3,35773.63976,44792.39934,0
37,69,36118,4,50,4209.929842,6,23578.18369,40254.62753,0
60,72,40947,0,98,4490.657852,6,27821.12361,34941.32192,0
45,77,38074,0,92,9641.94029,6,44269.96866,15867.51203,0
63,62,41435,0,71,3214.757966,4,34428.07305,21000.40523,0
48,70,38720,1,99,5226.555092,5,21755.36992,25089.32645,1
40,85,36892,1,6,6077.384747,6,8281.754504,36192.68959,0
35,76,35562,1,21,5150.039238,5,8647.660255,26877.81103,0
43,83,37610,0,100,4674.634683,3,16619.64084,21829.98337,0
62,74,41259,0,77,5354.459532,4,56782.40632,46276.30718,0
85,70,44425,2,49,4454.946452,5,17838.46364,17780.69292,0
56,81,40262,0,2,1919.477601,2,15779.02,29821.39114,0
44,71,37859,1,1,7838.485326,6,9437.400687,13053.15259,0
32,84,34662,0,23,8645.556559,8,20905.37634,29842.24695,0
45,88,38087,0,20,4359.140238,6,12044.50927,19583.59433,0
54,72,39888,0,27,3407.303199,4,16246.49573,18684.95141,0
35,71,35546,0,93,3924.688046,5,26404.13545,22252.37788,0
51,66,39314,0,17,4523.360404,4,16194.16046,16236.51181,0
47,86,38485,0,92,2960.944688,9,15608.28619,15132.76646,0
44,68,37859,0,10,4246.734826,3,22806.62293,13982.36188,0
47,90,38485,0,2,3700.849429,3,31641.43668,10452.57282,0
57,66,40429,0,92,5753.044878,5,37595.92852,13444.45011,0
34,76,35251,0,6,7626.041252,4,34693.91792,53671.37004,1
53,83,39723,0,89,6204.905253,3,4682.058135,50664.2589,0
42,52,37370,0,95,7050.867385,5,7664.194668,13450.67263,0
54,50,39889,1,50,3194.765017,10,14034.21677,29769.9989,1
71,80,42635,0,60,5269.8731,6,22656.86703,7328.073276,0
52,86,39518,0,23,7103.28965,4,13781.54754,17956.36513,0
54,38,39895,0,50,9977.989186,4,31151.40784,40309.11969,1
43,78,37609,0,100,6574.013772,8,23245.58961,43657.60686,0
